Day,High Temperature,Low Temperature,Weather,Wind Direction,Wind Speed,Air Quality,Air Quality Info,Air Quality Level
2018-11-23,7℃,0℃,Cloudy,Northeast Wind,2,93,Good,2
2018-11-24,9℃,-3℃,Sunny,Southwest Wind,1,114,Light Pollution,3
2018-11-25,10℃,-3℃,Sunny,Southeast Wind,1,120,Light Pollution,3
2018-11-26,10℃,0℃,Cloudy,Southeast Wind,1,245,Heavy Pollution,5
2018-11-27,9℃,-3℃,Sunny~Cloudy,Northwest Wind,2,198,Moderate Pollution,4
2018-11-28,8℃,-3℃,Sunny,Northeast Wind,1,115,Light Pollution,3
2018-11-29,7℃,-4℃,Sunny,Southeast Wind,1,107,Light Pollution,3
2018-11-30,8℃,-3℃,Sunny,Southeast Wind,1,123,Light Pollution,3
2018-12-01,7℃,0℃,Cloudy,Southeast Wind,1,163,Moderate Pollution,4
2018-12-02,9℃,2℃,Fog~Cloudy,Northeast Wind,1,234,Heavy Pollution,5
2018-12-03,8℃,-3℃,Cloudy~Sunny,Northeast Wind,3,198,Moderate Pollution,4
2018-12-04,4℃,-6℃,Sunny~Cloudy,Northwest Wind,2,61,Good,2
2018-12-05,1℃,-4℃,Overcast~Cloudy,Southeast Wind,1,73,Good,2
2018-12-06,-2℃,-9℃,Sunny,Northwest Wind,3,40,Excellent,1
2018-12-07,-4℃,-10℃,Sunny,Northwest Wind,3,33,Excellent,1
2018-12-08,-2℃,-10℃,Sunny~Cloudy,Northwest Wind,2,37,Excellent,1
2018-12-09,-1℃,-10℃,Cloudy~Sunny,Southeast Wind,1,62,Good,2
2018-12-10,1℃,-6℃,Cloudy,Northeast Wind,1,79,Good,2
2018-12-11,-1℃,-10℃,Sunny,Northwest Wind,3,56,Good,2
2018-12-12,1℃,-8℃,Sunny,Southwest Wind,1,50,Excellent,1
2018-12-13,3℃,-7℃,Sunny,Northwest Wind,2,42,Excellent,1
2018-12-14,4℃,-6℃,Sunny,Southeast Wind,1,68,Good,2
2018-12-15,2℃,-6℃,Haze,Southeast Wind,1,117,Light Pollution,3
2018-12-16,7℃,-4℃,Sunny,Northwest Wind,2,108,Light Pollution,3
2018-12-17,7℃,-5℃,Sunny,Northwest Wind,2,47,Excellent,1
2018-12-18,9℃,-4℃,Sunny,Northwest Wind,2,53,Good,2
2018-12-19,9℃,-5℃,Sunny~Cloudy,Northwest Wind,1,59,Good,2
2018-12-20,6℃,-4℃,Haze,Southeast Wind,1,78,Good,2
2018-12-21,10℃,-2℃,Sunny~Cloudy,Northwest Wind,1,98,Good,2
2018-12-22,8℃,-6℃,Cloudy,Northwest Wind,2,106,Light Pollution,3
2018-12-23,1℃,-9℃,Sunny,Northwest Wind,3,106,Light Pollution,3
2018-12-24,2℃,-8℃,Sunny,Southwest Wind,1,106,Light Pollution,3
2018-12-25,2℃,-9℃,Sunny,Northeast Wind,2,94,Good,2
2018-12-26,-2℃,-11℃,Sunny~Cloudy,Northeast Wind,2,26,Excellent,1
2018-12-27,-5℃,-12℃,Cloudy~Sunny,Northwest Wind,3,48,Excellent,1
2018-12-28,-3℃,-11℃,Sunny,Northwest Wind,3,40,Excellent,1
2018-12-29,-3℃,-12℃,Sunny,Northwest Wind,2,29,Excellent,1
2018-12-30,-2℃,-11℃,Sunny~Cloudy,Northeast Wind,1,31,Excellent,1
2018-12-31,-2℃,-10℃,Cloudy,Northeast Wind,1,56,Good,2
